SA2_name,POI_name
Manly - Fairlight,MANLY GOLF COURSE
Manly - Fairlight,MANLY WEST PARK
Manly - Fairlight,FAIRLIGHT CEMETERY
Manly - Fairlight,GRAHAM RESERVE
Manly - Fairlight,IVANHOE PARK
Manly - Fairlight,DALLEY PARK
Manly - Fairlight,ESPLANADE PARK
Manly - Fairlight,KEIRLE PARK
Manly - Fairlight,HINKLER PARK
Manly - Fairlight,MANLY POST OFFICE
Manly - Fairlight,ST PAUL'S CATHOLIC COLLEGE
Manly - Fairlight,MANLY HOSPITAL
Manly - Fairlight,SHELLY BEACH PARK
Manly - Fairlight,QUARANTINE STATION
Manly - Fairlight,NORTH HEAD SEWAGE TREATMENT WORKS
Manly - Fairlight,CSU GRADUATE SCHOOL OF POLICING AND SECURITY
Manly - Fairlight,LAGOON PARK
Manly - Fairlight,STELLA MARIS COLLEGE
Manly - Fairlight,KANGAROO PARK
Manly - Fairlight,NORTH STEYNE PARK
Manly - Fairlight,GILBERT PARK
Manly - Fairlight,LITTLE MANLY POINT PARK
Manly - Fairlight,LITTLE MANLY RESERVE
Manly - Fairlight,NORTH STEYNE SLSC
Manly - Fairlight,MANLY OVAL
Manly - Fairlight,ARABANOO LOOKOUT
Manly - Fairlight,OCEANWORLD MANLY
Manly - Fairlight,MANLY ART GALLERY AND MUSEUM
Manly - Fairlight,MANLY BOWLING CLUB
Manly - Fairlight,MANLY ANDREW BOY CHARLTON POOL
Manly - Fairlight,PEACE PARK
Manly - Fairlight,MANLY WHARF
Manly - Fairlight,PARKHILL RESERVE
Manly - Fairlight,WEERONA PARK
Manly - Fairlight,QUEENSCLIFF SLSC
Manly - Fairlight,MERRETT PARK
Manly - Fairlight,MANLY SLSC
Manly - Fairlight,MANLY LAGOON
Manly - Fairlight,GLEDHILL PARK
Manly - Fairlight,SOUTH STEYNE PARK
Manly - Fairlight,CRATER COVE LOOKOUT
Manly - Fairlight,QUARANTINE STATION CEMETERY
Manly - Fairlight,MANLY LAWN TENNIS CLUB
Manly - Fairlight,MANLY RUGBY UNION CLUB
Manly - Fairlight,COSTIN RESERVE
Manly - Fairlight,BOWER STREET RESERVE
Manly - Fairlight,INTERNATIONAL COLLEGE OF MANAGEMENT
Manly - Fairlight,QUARANTINE BEACH
Manly - Fairlight,DOBROYD HEAD
Manly - Fairlight,CANNAE POINT
Manly - Fairlight,QUARANTINE HEAD
Manly - Fairlight,NORTH HEAD
Manly - Fairlight,STORE BEACH
Manly - Fairlight,MANLY POINT
Manly - Fairlight,SMEDLEYS POINT
Manly - Fairlight,LITTLE MANLY POINT
Manly - Fairlight,FORTY BASKETS BEACH
Manly - Fairlight,REEF BEACH
Manly - Fairlight,BLUE FISH POINT
Manly - Fairlight,SHELLY BEACH
Manly - Fairlight,FAIRY BOWER BEACH
Manly - Fairlight,MANLY BEACH
Manly - Fairlight,NORTH STEYNE BEACH
Manly - Fairlight,QUEENSCLIFF HEAD
Manly - Fairlight,MANLY
Manly - Fairlight,FAIRLIGHT
Manly - Fairlight,CRATER VALLEY
Manly - Fairlight,FEDERATION POINT
Manly - Fairlight,KAY-YE-MY POINT
Manly - Fairlight,WILLIAM STREET STUDIOS
Manly - Fairlight,MANLY WATERS PRIVATE HOSPITAL
Manly - Fairlight,MANLY SES
Manly - Fairlight,IVANHOE PARK BOTANIC GARDEN
Manly - Fairlight,MANLY WATERWORKS
Manly - Fairlight,NORTH FORT
Manly - Fairlight,MANLY CIVIC CLUB
Manly - Fairlight,NORTH HARBOUR SAILING CLUB
Manly - Fairlight,MANLY COUNCIL
Manly - Fairlight,DRUMMOND HOUSE
Manly - Fairlight,MANLY VISITOR INFORMATION CENTRE
Manly - Fairlight,MANLY COURT HOUSE
Manly - Fairlight,MANLY WEST PUBLIC SCHOOL
Manly - Fairlight,MANLY VILLAGE PUBLIC SCHOOL
Manly - Fairlight,ST MARY'S CATHOLIC PRIMARY SCHOOL
Manly - Fairlight,ROYAL FAR WEST SCHOOL
Manly - Fairlight,UNITING WESLEY HEIGHTS MANLY
Manly - Fairlight,STELLA MARIS COLLEGE BENEDICT CAMPUS
Manly - Fairlight,MANLY LIBRARY
Manly - Fairlight,CONSULATE OF COOK ISLANDS
Manly - Fairlight,MANLY BUS INTERCHANGE
Manly - Fairlight,SYDNEY ROAD COMMUNITY HEALTH CENTRE
Manly - Fairlight,MANLY COMMUNITY HEALTH CENTRE
Manly - Fairlight,PARKHILL COTTAGE DAY CENTRE
Manly - Fairlight,PITTWATER ROAD COMMUNITY HEALTH CENTRE
Manly - Fairlight,MANLY EARLY CHILDHOOD CENTRE
Manly - Fairlight,MANLY GOLF CLUB
Manly - Fairlight,WESLEY HEIGHTS MANLY
Manly - Fairlight,MANLY VALE COMMUNITY GARDEN
Manly - Fairlight,AITKEN RESERVE
Manly - Fairlight,FAIRWAY RESERVE
Manly - Fairlight,FARMHOUSE MONTESSORI SCHOOL NORTH HEAD
Manly - Fairlight,RAGLAN GALLERY
Manly - Fairlight,MANLY ANZAC WAR MEMORIAL
Manly - Fairlight,HEADLAND MONTESSORI ELC
Manly - Fairlight,DOBROYD HEAD LOOKOUT
Manly - Fairlight,WRECK OF THE CATHERINE ADAMSON
Manly - Fairlight,BURRAGULA
Manly - Fairlight,YININGMA
Manly - Fairlight,MANLY FIRE STATION
Manly - Fairlight,MANLY POLICE STATION
Manly - Fairlight,CORBETT PLAYGROUND
Manly - Fairlight,JEAN HAY AM PLAYGROUND
Manly - Fairlight,QUEENSCLIFF ROCK POOL
Manly - Fairlight,MANLY VALE COMMUNITY CENTRE INNES ROAD
Manly - Fairlight,MANLY OVAL PAVILION (HALL)
Manly - Fairlight,MANLY COMMUNITY PRESCHOOL & YOUTH CENTRE
Manly - Fairlight,MANLEY SENIORS CENTRE
Manly - Fairlight,MANLY PACIFIC WAVES UNDERGROUND CARPARK
Manly - Fairlight,WHISTLER STREET MULTISTOREY CARPARK
Manly - Fairlight,MANLY PENINSULA UNDERGROUND CARPARK
Manly - Fairlight,MANLY NATIONAL MULTISTOREY CARPARK
Manly Vale - Allambie Heights,WOOLGOOLGA RESERVE
Manly Vale - Allambie Heights,LAE RESERVE
Manly Vale - Allambie Heights,BANTRY RESERVE
Manly Vale - Allambie Heights,MANLY DAM RESERVE
Manly Vale - Allambie Heights,BLIGH PARK
Manly Vale - Allambie Heights,ALLENBY PARK
Manly Vale - Allambie Heights,WARRINGAH GOLF COURSE
Manly Vale - Allambie Heights,NORTHERN BEACHES SECONDARY COLLEGE MACKELLAR GIRLS CAMPUS
Manly Vale - Allambie Heights,NOLAN RESERVE
Manly Vale - Allambie Heights,GOROKA PARK
Manly Vale - Allambie Heights,BROOKVALE OVAL
Manly Vale - Allambie Heights,MANLY WARRINGAH WAR MEMORIAL PARK
Manly Vale - Allambie Heights,GUMBOOYA RESERVE
Manly Vale - Allambie Heights,WARRINGAH MALL POST OFFICE
Manly Vale - Allambie Heights,UNIVERSITY OF NEW SOUTH WALES MANLY VALE CAMPUS
Manly Vale - Allambie Heights,KING STREET RESERVE
Manly Vale - Allambie Heights,PASSMORE RESERVE
Manly Vale - Allambie Heights,DAVID THOMAS RESERVE
Manly Vale - Allambie Heights,MILLER RESERVE
Manly Vale - Allambie Heights,CONDOVER STREET RESERVE
Manly Vale - Allambie Heights,WARRINGAH MALL
Manly Vale - Allambie Heights,ST AUGUSTINE'S COLLEGE SYDNEY
Manly Vale - Allambie Heights,NORTH MANLY BOWLING AND RECREATION CLUB
Manly Vale - Allambie Heights,WARRINGAH RECREATION CENTRE
Manly Vale - Allambie Heights,WOODBINE RESERVE
Manly Vale - Allambie Heights,BROOKVALE NORTHERN PARK
Manly Vale - Allambie Heights,AQUATIC RESERVE
Manly Vale - Allambie Heights,ARNHEM ROAD RESERVE
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS SHOPPING CENTRE
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS POST OFFICE
Manly Vale - Allambie Heights,SCALABRINI VILLAGE ALLAMBIE HEIGHTS
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS COMMUNITY TENNIS CLUB
Manly Vale - Allambie Heights,SEAFORTH BOWLING CLUB
Manly Vale - Allambie Heights,WAKEHURST GOLF COURSE
Manly Vale - Allambie Heights,WAKEHURST GOLF CLUB
Manly Vale - Allambie Heights,SEAFORTH COMMUNITY CENTRE
Manly Vale - Allambie Heights,MANLY RESERVOIR
Manly Vale - Allambie Heights,MANLY WARRINGAH DISTRICT PARK
Manly Vale - Allambie Heights,WARRINGAH GOLF CLUB
Manly Vale - Allambie Heights,MANLY DAM
Manly Vale - Allambie Heights,SEAFORTH OVAL
Manly Vale - Allambie Heights,MANLY VALE
Manly Vale - Allambie Heights,NORTH MANLY
Manly Vale - Allambie Heights,BROOKVALE
Manly Vale - Allambie Heights,NARRAWEENA
Manly Vale - Allambie Heights,BEACON HILL
Manly Vale - Allambie Heights,ALLAMBIE
Manly Vale - Allambie Heights,NORTH BALGOWLAH
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS
Manly Vale - Allambie Heights,BANTRY BLUFF
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS RESERVE
Manly Vale - Allambie Heights,ESTIA HEALTH MANLY VALE
Manly Vale - Allambie Heights,BALGOWLAH AMBULANCE STATION
Manly Vale - Allambie Heights,WILLIAM CHARLTON VILLAGE
Manly Vale - Allambie Heights,MANLY HILLSIDE CARE COMMUNITY
Manly Vale - Allambie Heights,MANLY VALE NURSING HOME
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS VILLAGE RESIDENTIAL AGED CARE FACILITY
Manly Vale - Allambie Heights,BROOKVALE PUBLIC SCHOOL
Manly Vale - Allambie Heights,MANLY VALE PUBLIC SCHOOL
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS PUBLIC SCHOOL
Manly Vale - Allambie Heights,BALGOWLAH NORTH PUBLIC SCHOOL
Manly Vale - Allambie Heights,SEAFORTH PUBLIC SCHOOL
Manly Vale - Allambie Heights,ARRANOUNBAI SCHOOL
Manly Vale - Allambie Heights,THE BEACH SCHOOL
Manly Vale - Allambie Heights,ALLAMBIE HEIGHTS VILLAGE
Manly Vale - Allambie Heights,KINGS COURT CHRISTIAN VILLAGE
Manly Vale - Allambie Heights,FARMHOUSE MONTESSORI SCHOOL
Manly Vale - Allambie Heights,BROOKVALE COMMUNITY HEALTH CENTRE
