Split,Model Group,Model,n_stocks,median_RMSE,median_RMSPE,median_QLIKE,mean_QLIKE
Seen test,Normal Long,XGB Long,40,0.00041450697481513587,4.972068122527224,0.16279586054049344,0.17880916683044681
Seen test,Normal Long,LR Long,40,0.0004138583112883606,5.065587146755646,0.16480911555591068,0.18128839772123057
Seen test,Normal Long,MLP Long,40,0.00042775089519979566,5.185146567751517,0.16637223185169892,0.18270878709077812
Seen test,Normal Long,HAR-RV,40,0.0004164087562290856,4.88769289632852,0.1666327689078701,0.1840911111321481
Seen test,Normal Long,Lasso Long,40,0.00041367337913812225,5.150122652306269,0.16670378513960046,0.1830513596950847
Seen test,Normal Long,RF Long,40,0.00042415439600623235,5.748907086286108,0.18853781924129115,0.20195695873557556
Seen test,Weighted Long,WXGB Long,40,0.00041724186722820494,4.951045536038137,0.16279827077689962,0.1789348772647239
Seen test,Weighted Long,WLR Long,40,0.00041413460358237996,5.045294592574755,0.16481239679688642,0.18129553529274137
Unseen anonymous,Normal Long,XGB Long,20,0.00041087376021990967,3.4493145171027244,0.14881026482782606,0.1648924646673484
Unseen anonymous,Normal Long,LR Long,20,0.0004134164655094345,3.4752642610277915,0.15031614755019915,0.16659739915423438
Unseen anonymous,Normal Long,Lasso Long,20,0.00041607162067555783,3.5707742527785094,0.15172029753453253,0.16808585550028393
Unseen anonymous,Normal Long,MLP Long,20,0.00041881614822912783,3.5766366308748703,0.15205513173427604,0.16871847514327282
Unseen anonymous,Normal Long,HAR-RV,20,0.00041580336041276795,3.4614620106966902,0.15207569067892268,0.16833810128023835
Unseen anonymous,Normal Long,RF Long,20,0.0004227145202581188,3.955678962685265,0.16320560929649847,0.1835783148572164
Unseen anonymous,Weighted Long,WXGB Long,20,0.00041156794477932677,3.440627647531286,0.14882115492889475,0.16486714848172646
Unseen anonymous,Weighted Long,WLR Long,20,0.0004134482755794568,3.467495862448869,0.15030013805596648,0.16659616184118134
