Split,Model Group,Model,stock_id,n_rows,RMSE,RMSPE,QLIKE
Seen test,Normal Long,LR Long,5,5750,0.0006697856267552845,13.175637774221652,0.2861614457129036
Seen test,Normal Long,LR Long,7,5750,0.00037489768997256277,6.0927814659012585,0.20508636746547074
Seen test,Normal Long,LR Long,10,5750,0.0002877461428004216,1.204899488098856,0.06385228385033566
Seen test,Normal Long,LR Long,13,5750,0.00023171060065964937,1.8514728258445547,0.13519464956426766
Seen test,Normal Long,LR Long,14,5750,0.00023921471002086455,0.5108057879414795,0.050031119244409616
Seen test,Normal Long,LR Long,16,5750,0.0006250583953030798,15.361074946517338,0.3264482265029262
Seen test,Normal Long,LR Long,18,5750,0.001245705021827083,31.58483396230913,0.47666397418982664
Seen test,Normal Long,LR Long,19,5750,0.0003966858309031914,5.177321200491038,0.20120915286118993
Seen test,Normal Long,LR Long,20,5750,0.00028406645853791215,1.196850648248873,0.07711688499207846
Seen test,Normal Long,LR Long,27,5750,0.0009882756221506553,22.202614825875973,0.3652714301443211
Seen test,Normal Long,LR Long,29,5750,0.00011385946708261993,0.3706224237566747,0.03708236747100534
Seen test,Normal Long,LR Long,37,5750,0.0009844757561544393,26.662629485251237,0.4919656630615978
Seen test,Normal Long,LR Long,43,5750,0.00010725832845500394,0.5382161346563517,0.05912406569857347
Seen test,Normal Long,LR Long,44,5750,0.00026089622104142875,0.8728879651245975,0.06494714636819714
Seen test,Normal Long,LR Long,46,5750,0.00018088731531825753,1.379026294962967,0.12712487128600294
Seen test,Normal Long,LR Long,51,5750,0.00026048592473672163,2.333563246308227,0.09170983186203668
Seen test,Normal Long,LR Long,61,5750,0.00026773088568305764,0.5016151420916065,0.05334855521736818
Seen test,Normal Long,LR Long,62,5750,0.0006273622790996935,5.892143104419063,0.14742572048391836
Seen test,Normal Long,LR Long,63,5750,0.00029890624046485776,1.6157867097561431,0.09180789042103045
Seen test,Normal Long,LR Long,64,5750,0.00021668602803943276,1.2225382029078664,0.08392624843113702
Seen test,Normal Long,LR Long,68,5750,0.0004132833939804937,2.2886147894009854,0.11490259993482786
Seen test,Normal Long,LR Long,69,5750,0.00015938613119535668,0.3899618307401893,0.04084382523187673
Seen test,Normal Long,LR Long,70,5750,0.0003332123145527231,3.349648542033293,0.16330898656878268
Seen test,Normal Long,LR Long,72,5750,0.00044230028488954323,7.322226570052241,0.18002573932532873
Seen test,Normal Long,LR Long,75,5750,0.0010424617255532479,23.60535033456218,0.3458841301522304
Seen test,Normal Long,LR Long,77,5750,0.0002917313362307928,1.2249240317199899,0.07417597560453149
Seen test,Normal Long,LR Long,78,5750,0.0005346654426888107,7.380406157817074,0.1663092445430387
Seen test,Normal Long,LR Long,80,5750,0.0008024285350031386,8.15884351297649,0.15822016283086213
Seen test,Normal Long,LR Long,82,5750,0.0004478803306470861,8.218681618620828,0.21176267618589031
Seen test,Normal Long,LR Long,83,5750,0.0006618140407212484,12.703932952760574,0.26072650902189887
Seen test,Normal Long,LR Long,90,5750,0.0007004810916802929,10.254695507859147,0.26257895216221977
Seen test,Normal Long,LR Long,98,5750,0.0007227314755941939,16.791521105702365,0.37945155517951634
Seen test,Normal Long,LR Long,100,5750,0.0005592226678457528,3.4830922009718637,0.12766221452949872
Seen test,Normal Long,LR Long,102,5750,0.0005499227808295094,6.180257088326153,0.1777550244637097
Seen test,Normal Long,LR Long,103,5750,0.0008500346318045648,17.105645929716182,0.3083249053915492
Seen test,Normal Long,LR Long,104,5750,0.0004144332285962275,4.953853093020253,0.17729696438288525
Seen test,Normal Long,LR Long,115,5750,0.00034293309855885576,4.758853462097283,0.1937254213775342
Seen test,Normal Long,LR Long,118,5750,0.000615579180238863,7.162200485273756,0.18563573925925267
Seen test,Normal Long,LR Long,120,5750,0.00024491638974201934,1.150371637034788,0.08055168971866261
Seen test,Normal Long,LR Long,126,5750,0.0006463104104107339,9.09286490811954,0.2068956981565292
Seen test,Normal Long,Lasso Long,5,5750,0.0006685685300279273,13.120685039937095,0.2854551220962608
Seen test,Normal Long,Lasso Long,7,5750,0.00037695322118320014,6.273609879688449,0.20762832476976323
Seen test,Normal Long,Lasso Long,10,5750,0.0002937704213416978,1.238735557114157,0.06541522174715696
Seen test,Normal Long,Lasso Long,13,5750,0.00023407046541749256,1.9576539889339988,0.13894674339154778
Seen test,Normal Long,Lasso Long,14,5750,0.00024431945310196535,0.5398568135461139,0.051885016241922266
Seen test,Normal Long,Lasso Long,16,5750,0.0006243142604860207,15.76005990382517,0.32769271487560675
Seen test,Normal Long,Lasso Long,18,5750,0.001247134714885482,31.590802161478344,0.47589173106290955
Seen test,Normal Long,Lasso Long,19,5750,0.0003990134192949069,5.266240454968523,0.2047226901253402
Seen test,Normal Long,Lasso Long,20,5750,0.00028660423960714915,1.2393226757419122,0.07935237963676411
Seen test,Normal Long,Lasso Long,27,5750,0.0009888471044010954,22.721498406978107,0.3650436328403604
Seen test,Normal Long,Lasso Long,29,5750,0.0001179450545390626,0.4204934117971049,0.04229515890763923
Seen test,Normal Long,Lasso Long,37,5750,0.0009864408160494501,26.849219606417954,0.4910272963883992
Seen test,Normal Long,Lasso Long,43,5750,0.00011285552189197976,0.6202732515529759,0.07050189500246362
Seen test,Normal Long,Lasso Long,44,5750,0.0002688103051468579,0.8730096494387131,0.066356725949999
Seen test,Normal Long,Lasso Long,46,5750,0.00018327529828236186,1.4845625083832648,0.13233055215699238
Seen test,Normal Long,Lasso Long,51,5750,0.00026316366839261693,2.400222936292524,0.09457686871269301
Seen test,Normal Long,Lasso Long,61,5750,0.0002722908586649052,0.5140413080967693,0.05412194500435694
Seen test,Normal Long,Lasso Long,62,5750,0.0006284425221866415,5.9773221668830185,0.1475728172333939
Seen test,Normal Long,Lasso Long,63,5750,0.0003010112926454143,1.6769773070297196,0.09282486980619212
Seen test,Normal Long,Lasso Long,64,5750,0.00021979722694412068,1.3007825785269473,0.08756288642471599
Seen test,Normal Long,Lasso Long,68,5750,0.00041220669548733925,2.3313339652372154,0.11687057588731978
Seen test,Normal Long,Lasso Long,69,5750,0.00016445142494239405,0.41279496264736354,0.04330051982155922
Seen test,Normal Long,Lasso Long,70,5750,0.0003350358084163491,3.491183955536702,0.16657434451068806
Seen test,Normal Long,Lasso Long,72,5750,0.00044518525247659173,7.4534599737019525,0.18240507176496698
Seen test,Normal Long,Lasso Long,75,5750,0.0010422342028843924,23.400985472337336,0.34519897822822215
Seen test,Normal Long,Lasso Long,77,5750,0.00030333439082336693,1.3121326973668226,0.07578204976055919
Seen test,Normal Long,Lasso Long,78,5750,0.0005352800855558347,7.186762369433478,0.16683322576851287
Seen test,Normal Long,Lasso Long,80,5750,0.0008100045594338201,8.464071276889529,0.15888462277634197
Seen test,Normal Long,Lasso Long,82,5750,0.00044819086359036903,8.214068316885744,0.21398380380770488
Seen test,Normal Long,Lasso Long,83,5750,0.0006616052112086853,12.702520343138579,0.2613037021486992
Seen test,Normal Long,Lasso Long,90,5750,0.000701615387953133,10.43537895252551,0.2617611086263792
Seen test,Normal Long,Lasso Long,98,5750,0.000727656961131464,17.14972127478896,0.38049412254790316
Seen test,Normal Long,Lasso Long,100,5750,0.0005588894284461415,3.5353739379237568,0.1288441380610156
Seen test,Normal Long,Lasso Long,102,5750,0.0005511760923959098,6.293021932933552,0.17820159394622986
Seen test,Normal Long,Lasso Long,103,5750,0.0008490267307545396,17.09520722123002,0.3076334369539968
Seen test,Normal Long,Lasso Long,104,5750,0.00041514006278890525,5.034004849644014,0.17984903909054226
Seen test,Normal Long,Lasso Long,115,5750,0.00034529389806961606,4.854168232485346,0.1963482792535559
Seen test,Normal Long,Lasso Long,118,5750,0.0006167132989414568,7.3077779184002924,0.1857838639334394
Seen test,Normal Long,Lasso Long,120,5750,0.00025101929818222756,1.187275033186376,0.08326707427909673
Seen test,Normal Long,Lasso Long,126,5750,0.0006500439420391331,9.17136132227516,0.20753024426217717
Seen test,Normal Long,XGB Long,5,5750,0.0006652654667184916,13.235786940896658,0.284315185451697
Seen test,Normal Long,XGB Long,7,5750,0.0003732940354872101,5.978916598880393,0.20389326176815595
Seen test,Normal Long,XGB Long,10,5750,0.000284020412588731,1.1332775380129771,0.06233170679362213
Seen test,Normal Long,XGB Long,13,5750,0.0002263346006306167,1.6462961920659882,0.12930437769509487
Seen test,Normal Long,XGB Long,14,5750,0.00021169590913874896,0.4578110282769797,0.047250237694619994
Seen test,Normal Long,XGB Long,16,5750,0.0006257527295491851,15.998418980931346,0.3252233086880653
Seen test,Normal Long,XGB Long,18,5750,0.0012450391953634059,33.08411574204671,0.47361064845202394
Seen test,Normal Long,XGB Long,19,5750,0.0003931476211164069,5.1453759405142,0.19852507789564994
Seen test,Normal Long,XGB Long,20,5750,0.00028384337656879734,1.093519030208861,0.07527375048078346
Seen test,Normal Long,XGB Long,27,5750,0.0009804578817557694,22.094370684469105,0.3634378371799212
Seen test,Normal Long,XGB Long,29,5750,0.00010514273057302955,0.31919040583716296,0.030596876224178903
Seen test,Normal Long,XGB Long,37,5750,0.0009824425540020886,27.572735562512285,0.4895416369693469
Seen test,Normal Long,XGB Long,43,5750,9.747058975000294e-05,0.4791569738460905,0.04859080249241076
Seen test,Normal Long,XGB Long,44,5750,0.00025381836757938344,0.7980033769211513,0.0628465723323825
Seen test,Normal Long,XGB Long,46,5750,0.00017568893532323365,1.2216426933672655,0.11832274620043433
Seen test,Normal Long,XGB Long,51,5750,0.00025760449403631564,2.3162380044774946,0.0880745365680152
Seen test,Normal Long,XGB Long,61,5750,0.00026582684894462883,0.48552565741473586,0.053797940733567015
Seen test,Normal Long,XGB Long,62,5750,0.0006330621469406854,5.83759155476881,0.14761955881807115
Seen test,Normal Long,XGB Long,63,5750,0.000294834862549596,1.5950790957394836,0.09116488957721583
Seen test,Normal Long,XGB Long,64,5750,0.00021755620112892793,1.0894206864942364,0.080363230964402
Seen test,Normal Long,XGB Long,68,5750,0.0004204944303594026,2.124972098785273,0.11349839560334035
Seen test,Normal Long,XGB Long,69,5750,0.00015186675543013914,0.3428048647470954,0.03698387261256726
Seen test,Normal Long,XGB Long,70,5750,0.000332949748372975,3.3233364461485437,0.15977639373228394
Seen test,Normal Long,XGB Long,72,5750,0.00044534793063910746,7.555654588335308,0.17800710306982215
Seen test,Normal Long,XGB Long,75,5750,0.0010373845692111783,24.160535807134874,0.3433816983130395
Seen test,Normal Long,XGB Long,77,5750,0.0002912975420781285,1.1602881654129813,0.07145732475009334
Seen test,Normal Long,XGB Long,78,5750,0.0005335423357590986,7.743997674537513,0.16581532734870294
Seen test,Normal Long,XGB Long,80,5750,0.0008027232481615751,8.827811432098287,0.15681218166538355
Seen test,Normal Long,XGB Long,82,5750,0.0004448714080860884,8.329861426410481,0.20925109074239442
Seen test,Normal Long,XGB Long,83,5750,0.0006602513390968681,13.055377485337708,0.25910442069319944
Seen test,Normal Long,XGB Long,90,5750,0.0006983847924555703,10.359516415640572,0.2612274488792465
Seen test,Normal Long,XGB Long,98,5750,0.0007322988331787736,17.57301648566269,0.37832366105394694
Seen test,Normal Long,XGB Long,100,5750,0.0005576064328504026,3.399907215482093,0.12635411158077306
Seen test,Normal Long,XGB Long,102,5750,0.0005410042198973105,6.03008097539258,0.17660311412088386
Seen test,Normal Long,XGB Long,103,5750,0.000843118326263246,18.22211379522003,0.30665622311847507
Seen test,Normal Long,XGB Long,104,5750,0.00040851951927086907,4.798760304540247,0.17428411972274666
Seen test,Normal Long,XGB Long,115,5750,0.000340479540249097,4.608868167088003,0.19027525984611998
Seen test,Normal Long,XGB Long,118,5750,0.0006174947245641501,7.212845765541351,0.18499992617341257
Seen test,Normal Long,XGB Long,120,5750,0.0002405504815697199,1.022654857501468,0.07933652642402213
Seen test,Normal Long,XGB Long,126,5750,0.0006431770995762226,9.04952079470733,0.20613429078776063
Seen test,Normal Long,RF Long,5,5750,0.00067030439602376,13.6130373272208,0.2878452538314154
Seen test,Normal Long,RF Long,7,5750,0.0003842766987849507,6.942818711984376,0.22301110487606884
Seen test,Normal Long,RF Long,10,5750,0.00030032386049967164,1.3067153409736025,0.0803190541344604
Seen test,Normal Long,RF Long,13,5750,0.0002527307355790622,3.0905775525659362,0.17786735780481577
Seen test,Normal Long,RF Long,14,5750,0.00023739854970138317,0.7728177568006637,0.07818219391130833
Seen test,Normal Long,RF Long,16,5750,0.0006361768817243081,16.53364452402669,0.34307504720724163
